Date,Open,High,Low,Close,Volume
03-Feb-06,0.1,0.11,0.1,0.11,3
06-Feb-06,0.08,0.08,0.08,0.08,4
07-Feb-06,0.12,0.12,0.12,0.12,4
08-Feb-06,0.08,0.1,0.05,0.09,11
09-Feb-06,0.05,0.05,0.05,0.05,7
10-Feb-06,0.06,0.06,0.02,0.04,14
13-Feb-06,0.04,0.04,0.03,0.03,4
14-Feb-06,0.02,0.03,0.02,0.03,8
15-Feb-06,0.04,0.08,0.04,0.07,4
16-Feb-06,0.09,0.09,0.05,0.06,17
17-Feb-06,0.06,0.06,0.05,0.06,10
20-Feb-06,0.08,0.08,0.04,0.04,4
21-Feb-06,0.04,0.04,0.03,0.03,2
22-Feb-06,0.04,0.04,0.03,0.03,6
23-Feb-06,0.03,0.03,0.03,0.03,1
24-Feb-06,0.01,0.02,0.01,0.02,2
27-Feb-06,0.02,0.02,0.02,0.02,3
01-Mar-06,0.04,0.05,0.04,0.05,14
02-Mar-06,0.04,0.04,0.04,0.04,2
03-Mar-06,0.02,0.04,0.02,0.04,3
06-Mar-06,0.04,0.04,0.04,0.04,2
07-Mar-06,--,--,--,--,0
08-Mar-06,0.02,0.02,0.01,0.01,8
09-Mar-06,0.03,0.07,0.02,0.07,28
10-Mar-06,0.07,0.18,0.07,0.18,54
13-Mar-06,0.18,0.19,0.07,0.12,43
14-Mar-06,0.1,0.1,0.02,0.04,27
15-Mar-06,0.09,0.09,0.03,0.05,11
16-Mar-06,0.05,0.05,0.02,0.02,18
17-Mar-06,0.02,0.02,0.01,0.01,33
20-Mar-06,0.02,0.02,0.01,0.01,31
03-Mar-08,0.65,0.66,0.57,0.6,210
04-Mar-08,0.61,0.61,0.53,0.56,53
05-Mar-08,0.57,0.58,0.51,0.54,39
06-Mar-08,0.55,0.6,0.52,0.6,58
07-Mar-08,0.5,0.57,0.5,0.54,45
10-Mar-08,0.54,0.54,0.42,0.44,44
11-Mar-08,0.44,0.46,0.43,0.45,64
12-Mar-08,0.47,0.5,0.45,0.45,52
13-Mar-08,0.48,0.49,0.43,0.43,35
14-Mar-08,0.41,0.41,0.38,0.38,36
17-Mar-08,0.37,0.37,0.31,0.35,43
18-Mar-08,0.3,0.3,0.29,0.29,23
19-Mar-08,0.3,0.32,0.24,0.31,41
20-Mar-08,0.3,0.32,0.27,0.32,44
21-Mar-08,0.35,0.35,0.32,0.34,41
24-Mar-08,0.59,0.59,0.39,0.39,40
