Name,StockNum,Date,Open,High,Low,Close,Volume,L_score,S_score
大盤,9999,2016/10/5,9260.69,9276.13,9244.41,9272.28,-,0,0
大盤,9999,2016/10/6,9263.4,9284.31,9242.83,9284.31,-,0,0
大盤,9999,2016/10/7,9289.66,9289.95,9249.06,9265.81,-,0,0
大盤,9999,2016/10/8,0,0,0,0,0,0,0
大盤,9999,2016/10/9,0,0,0,0,0,0,0
大盤,9999,2016/10/10,0,0,0,0,0,0,0
大盤,9999,2016/10/11,9311.79,9327.71,9167.72,9219.82,-,0,0
大盤,9999,2016/10/12,9201.55,9258.69,9166.58,9252.6,-,0,0
大盤,9999,2016/10/13,9268.22,9285.05,9187.78,9219.17,-,0,0
大盤,9999,2016/10/14,9198.26,9216.63,9149.87,9165.17,-,0,0
大盤,9999,2016/10/15,0,0,0,0,0,0,0
大盤,9999,2016/10/16,0,0,0,0,0,0,0
大盤,9999,2016/10/17,9150.67,9182.67,9074.99,9176.22,-,0,0
大盤,9999,2016/10/18,9175.07,9222.58,9157.4,9222.58,-,0,0
大盤,9999,2016/10/19,9227.98,9298.87,9226.46,9283.99,-,0,0
大盤,9999,2016/10/20,9288.49,9331.89,9279.15,9317.24,-,0,0
大盤,9999,2016/10/21,9322.55,9348.09,9292.53,9306.57,-,0,0
大盤,9999,2016/10/22,0,0,0,0,0,0,0
大盤,9999,2016/10/23,0,0,0,0,0,0,0
大盤,9999,2016/10/24,9333.94,9343.57,9308.53,9322.5,-,0,0
大盤,9999,2016/10/25,9338.09,9399.97,9334.8,9385.65,-,0,0
大盤,9999,2016/10/26,9355.66,9372.74,9338.84,9362.25,-,0,0
大盤,9999,2016/10/27,9363.9,9370.32,9286.86,9299.55,-,0,0
大盤,9999,2016/10/28,9307.39,9320.57,9276.71,9306.92,-,0,0
大盤,9999,2016/10/29,0,0,0,0,0,0,0
大盤,9999,2016/10/30,0,0,0,0,0,0,0
大盤,9999,2016/10/31,9283.2,9314.34,9194.48,9290.12,-,0,0
大盤,9999,2016/11/1,9272.3,9289.12,9236.82,9272.7,-,0,0
大盤,9999,2016/11/2,9230.23,9230.23,9139.04,9139.04,-,0,0
大盤,9999,2016/11/3,9126.29,9154.19,9067.27,9067.27,-,0,0
大盤,9999,2016/11/4,9065.11,9098.88,9048.21,9068.15,-,0,0
大盤,9999,2016/11/5,0,0,0,0,0,0,0
大盤,9999,2016/11/6,0,0,0,0,0,0,0
大盤,9999,2016/11/7,9102.97,9191.67,9102.97,9189.84,-,0,0
大盤,9999,2016/11/8,9214.95,9230.2,9165,9217.43,-,0,0
大盤,9999,2016/11/9,9252.27,9296.86,8926.6,8943.2,-,0,0
大盤,9999,2016/11/10,9070.64,9179.18,9070.64,9152.18,-,0,0
大盤,9999,2016/11/11,9067.65,9067.65,8949.38,8957.76,-,0,0
大盤,9999,2016/11/12,0,0,0,0,0,0,0
大盤,9999,2016/11/13,0,0,0,0,0,0,0
大盤,9999,2016/11/14,8955.27,8991.94,8879.69,8940.4,-,0,0
大盤,9999,2016/11/15,8927.92,8981.05,8923.36,8931.03,-,0,0
大盤,9999,2016/11/16,8955.76,9032.31,8955.76,8962.22,-,0,0
大盤,9999,2016/11/17,8984.57,8998.23,8936.3,8995.26,-,0,0
大盤,9999,2016/11/18,8991.5,9025.98,8958.22,9008.79,-,0,0
大盤,9999,2016/11/19,0,0,0,0,0,0,0
大盤,9999,2016/11/20,0,0,0,0,0,0,0
大盤,9999,2016/11/21,9009.78,9049.76,8986.4,9041.11,-,0,0
大盤,9999,2016/11/22,9058.58,9161.19,9058.58,9133.39,-,69,0
大盤,9999,2016/11/23,9146.72,9202.72,9146.72,9178.23,-,13,-123
大盤,9999,2016/11/24,9164.84,9183.16,9137.56,9152.11,-,0,0
大盤,9999,2016/11/25,9149.35,9191.34,9148.63,9159.07,-,0,0
大盤,9999,2016/11/26,0,0,0,0,0,0,0
大盤,9999,2016/11/27,0,0,0,0,0,0,0
大盤,9999,2016/11/28,9167.33,9241.54,9167.33,9222.24,-,0,0
大盤,9999,2016/11/29,9220.95,9249.06,9192.38,9192.38,-,0,0
大盤,9999,2016/11/30,9196.09,9240.71,9189.62,9240.71,-,0,0
大盤,9999,2016/12/1,9245.55,9278.96,9241.78,9263.53,-,0,0
大盤,9999,2016/12/2,9214.56,9214.56,9165.9,9189.49,-,270,0
大盤,9999,2016/12/3,0,0,0,0,0,0,0
大盤,9999,2016/12/4,0,0,0,0,0,0,0
大盤,9999,2016/12/5,9194.46,9212.19,9138.64,9160.66,-,0,0
大盤,9999,2016/12/6,9209.8,9280.65,9209.8,9250.77,-,0,0
大盤,9999,2016/12/7,9279,9299.92,9247.5,9263.89,-,0,0
大盤,9999,2016/12/8,9308.9,9376.41,9308.9,9375.86,-,0,0
大盤,9999,2016/12/9,9383.07,9399.25,9366.86,9392.68,-,115,0
大盤,9999,2016/12/10,0,0,0,0,0,68,0
大盤,9999,2016/12/11,0,0,0,0,0,0,0
大盤,9999,2016/12/12,9402.05,9430.34,9336.45,9349.94,-,195,0
大盤,9999,2016/12/13,9361.97,9382.14,9342.56,9382.14,-,64,0
大盤,9999,2016/12/14,9395.6,9413.13,9353.25,9368.52,-,0,0
大盤,9999,2016/12/15,9337.21,9370.51,9309.79,9360.35,-,0,0
大盤,9999,2016/12/16,9352.27,9379.75,9326.78,9326.78,-,0,0
